fips,cases,deaths
29007.0,25,0
29009.0,156,0
29013.0,231,29
29015.0,197,0
29017.0,133,0
29019.0,4079,55
29021.0,4728,43
29023.0,763,0
29025.0,83,0
29027.0,906,36
29029.0,1294,45
29031.0,1559,35
29033.0,46,0
29035.0,137,38
29037.0,2089,188
29039.0,232,0
29041.0,193,0
29043.0,778,0
29045.0,39,0
29047.0,2547,36
29049.0,451,0
29051.0,1916,39
29053.0,233,0
29055.0,231,0
29059.0,68,0
29061.0,63,0
29063.0,109,0
29069.0,726,52
29071.0,3741,250
29073.0,80,0
29075.0,36,0
29077.0,3594,340
29081.0,217,0
29083.0,240,44
29087.0,27,0
29089.0,69,0
29091.0,171,0
29093.0,54,0
29095.0,11290,434
29097.0,804,0
29099.0,8064,193
29101.0,1983,0
29105.0,5,0
29107.0,1485,43
29109.0,34,0
29111.0,119,20
29113.0,1527,34
29115.0,167,29
29117.0,79,0
29119.0,160,0
29121.0,89,0
29123.0,46,0
29125.0,82,0
29127.0,96,0
29131.0,42,0
29133.0,551,0
29135.0,989,0
29139.0,269,0
29141.0,120,0
